"Date","USD.MYR"
2014-12-24,3.4961
2014-12-25,3.4965
2014-12-26,3.4909
2014-12-27,3.4905
2014-12-28,3.4931
2014-12-29,3.4976
2014-12-30,3.5005
2014-12-31,3.498
2015-01-01,3.4965
2015-01-02,3.5189
2015-01-03,3.5189
2015-01-04,3.5165
2015-01-05,3.5452
2015-01-06,3.5636
2015-01-07,3.5743
2015-01-08,3.5606
2015-01-09,3.5568
2015-01-10,3.5568
2015-01-11,3.5523
2015-01-12,3.5649
2015-01-13,3.5848
2015-01-14,3.5848
2015-01-15,3.5651
2015-01-16,3.5615
2015-01-17,3.557
2015-01-18,3.557
2015-01-19,3.5655
2015-01-20,3.6055
2015-01-21,3.6147
2015-01-22,3.6004
2015-01-23,3.5974
2015-01-24,3.5952
2015-01-25,3.5979
2015-01-26,3.6063
2015-01-27,3.6047
2015-01-28,3.6202
2015-01-29,3.6328
2015-01-30,3.6362
2015-01-31,3.6337
2015-02-01,3.6337
2015-02-02,3.6279
2015-02-03,3.5952
2015-02-04,3.5697
2015-02-05,3.561
2015-02-06,3.5465
2015-02-07,3.5425
2015-02-08,3.5598
2015-02-09,3.5586
2015-02-10,3.5793
2015-02-11,3.6087
2015-02-12,3.6107
2015-02-13,3.5735
2015-02-14,3.5805
2015-02-15,3.5805
2015-02-16,3.5797
2015-02-17,3.585
2015-02-18,3.6134
2015-02-19,3.6369
2015-02-20,3.6491
2015-02-21,3.6491
2015-02-22,3.6491
2015-02-23,3.642
2015-02-24,3.6363
2015-02-25,3.6121
2015-02-26,3.5932
2015-02-27,3.6117
2015-02-28,3.6115
2015-03-01,3.6115
2015-03-02,3.6288
2015-03-03,3.6286
2015-03-04,3.6491
2015-03-05,3.6558
2015-03-06,3.6605
2015-03-07,3.6839
2015-03-08,3.6839
2015-03-09,3.6833
2015-03-10,3.7048
2015-03-11,3.7025
2015-03-12,3.6867
2015-03-13,3.697
2015-03-14,3.706
2015-03-15,3.706
2015-03-16,3.6999
2015-03-17,3.6956
2015-03-18,3.6997
2015-03-19,3.6945
2015-03-20,3.7225
2015-03-21,3.7095
2015-03-22,3.7115
2015-03-23,3.6738
2015-03-24,3.6586
2015-03-25,3.6676
2015-03-26,3.6696
2015-03-27,3.6771
2015-03-28,3.6845
2015-03-29,3.6845
2015-03-30,3.7115
2015-03-31,3.7086
2015-04-01,3.6864
2015-04-02,3.667
2015-04-03,3.6538
2015-04-04,3.6598
2015-04-05,3.6598
2015-04-06,3.6271
2015-04-07,3.6377
2015-04-08,3.632
2015-04-09,3.6316
2015-04-10,3.6631
2015-04-11,3.6673
2015-04-12,3.6713
2015-04-13,3.7048
2015-04-14,3.699
2015-04-15,3.7026
2015-04-16,3.6521
2015-04-17,3.6315
2015-04-18,3.6215
2015-04-19,3.6376
2015-04-20,3.6254
2015-04-21,3.6346
2015-04-22,3.611
2015-04-23,3.6217
2015-04-24,3.5803
2015-04-25,3.5803
2015-04-26,3.5815
2015-04-27,3.5567
2015-04-28,3.5479
2015-04-29,3.5504
2015-04-30,3.5636
2015-05-01,3.5904
2015-05-02,3.5938
2015-05-03,3.5938
2015-05-04,3.5982
2015-05-05,3.6015
2015-05-06,3.5706
2015-05-07,3.5951
2015-05-08,3.5964
2015-05-09,3.5965
2015-05-10,3.5886
2015-05-11,3.6037
2015-05-12,3.6131
2015-05-13,3.5942
2015-05-14,3.5723
2015-05-15,3.5669
2015-05-16,3.5635
2015-05-17,3.5634
2015-05-18,3.5743
2015-05-19,3.5966
2015-05-20,3.6107
2015-05-21,3.6019
2015-05-22,3.5912
2015-05-23,3.5915
2015-05-24,3.5934
2015-05-25,3.6121
2015-05-26,3.6298
2015-05-27,3.6437
2015-05-28,3.6485
2015-05-29,3.6576
2015-05-30,3.6665
2015-05-31,3.6621
2015-06-01,3.6828
2015-06-02,3.6905
2015-06-03,3.6839
2015-06-04,3.7046
2015-06-05,3.7344
2015-06-06,3.76
2015-06-07,3.7609
2015-06-08,3.7671
2015-06-09,3.751
